location;quadrat;specimen;mussel.species;shell.length;shell.area;sex;valve;inf.lvl;inf.percent;mobility;higher group;epibiont;position;basibiont;abundance;cover;cover.percent;biomass;id pic;notes
Kasouga;3;1;Perna perna;82;1793,2;M;L;D;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;1;12,9;0,72;9,2;DSC1212;
Kasouga;3;1;Perna perna;82;1793,2;M;L;D;75-100;sessile;Bryozoa;Electra verticillata;non infested;Perna perna;1;1,5;0,08;3;DSC1212;
Kasouga;3;1;Perna perna;82;1750,5;M;R;C;75-100;sessile;Cirripedia;Chthamalus dentatus;non infested;Perna perna;1;1,4;0,08;0,4;DSC1211;
Kasouga;3;1;Perna perna;82;1750,5;M;R;C;75-100;sessile;Cirripedia;Juvenile barnacle;non infested;Perna perna;3;0,9;0,05;0;DSC1211;
Kasouga;3;1;Perna perna;82;1750,5;M;R;C;75-100;semi-sessile;Gastropoda;Helcion pectunculus;non infested;Perna perna;1;4,2;0,24;0,6;DSC1211;
Kasouga;3;1;Perna perna;82;1750,5;M;R;C;75-100;semi-sessile;Gastropoda;Helcion pruinosus;infested;Perna perna;1;16,7;0,95;1,2;DSC1211;
Kasouga;3;1;Perna perna;82;1750,5;M;R;C;75-100;sessile;Ochrophyta;Ralfsia verrucosa;non infested;Perna perna;1;78,6;4,49;28,6;DSC1211;
Kasouga;3;1;Perna perna;82;1750,5;M;R;C;75-100;sessile;Sedentaria;Spirorbis spp.;infested;Perna perna;1;0,9;0,05;0;DSC1211;
Kasouga;3;2;Perna perna;75;1631,9;N;L;D;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;8;4,1;0,25;0;DSC1214;
Kasouga;3;2;Perna perna;75;1676,5;N;R;D;75-100;sessile;Bryozoa;Bryozoa;infested;Perna perna;3;37,9;2,26;5,9;DSC1213;
Kasouga;3;3;Perna perna;57;1091,5;F;L;B;50-75;no epibiont;no epibiont;no epibiont;no epibiont;no epibiont;0;0;0;0;DSC1216;
Kasouga;3;3;Perna perna;57;1069;F;R;B;25-50;no epibiont;no epibiont;no epibiont;no epibiont;no epibiont;0;0;0;0;DSC1215;
Kasouga;3;4;Perna perna;33;416,7;N;L;A;0-25;no epibiont;no epibiont;no epibiont;no epibiont;no epibiont;0;0;0;0;DSC1218;
Kasouga;3;4;Perna perna;33;427,5;N;R;A;0;no epibiont;no epibiont;no epibiont;no epibiont;no epibiont;0;0;0;0;DSC1217;
Kasouga;3;5;Perna perna;77;1684,7;N;L;D;75-100;sessile;Cirripedia;Juvenile barnacle;non infested;Perna perna;1;0,2;0,01;0;DSC1220;
Kasouga;3;5;Perna perna;77;1693,1;N;R;C;75-100;sessile;Cirripedia;Chthamalus dentatus;infested;Perna perna;1;1;0,06;;DSC1219;
Kasouga;3;6;Perna perna;65;1440,9;M;L;C;50-75;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;2;0,3;0,02;0;DSC1222;
Kasouga;3;6;Perna perna;65;1440,9;M;L;C;50-75;sessile;Cirripedia;Juvenile barnacle;non infested;Perna perna;1;0,2;0,01;0;DSC1222;
Kasouga;3;6;Perna perna;65;1440,9;M;L;C;50-75;mobile;Errantia;Scoletoma tetraura;infested;Perna perna;1;2,5;0,17;0,1;DSC1222;w/in byssal threads
Kasouga;3;6;Perna perna;65;1386,4;M;R;B;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;1;0,361;0,03;0;DSC1221;
Kasouga;3;6;Perna perna;65;1386,4;M;R;B;75-100;sessile;Cirripedia;Juvenile barnacle;non infested;Perna perna;1;0,361;0,03;0;DSC1221;
Kasouga;3;7;Perna perna;61;1155,8;M;L;B;50-75;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;1;0,3;0,03;0;DSC1224;
Kasouga;3;7;Perna perna;61;1127,2;M;R;B;50-75;mobile;Errantia;Pseudonereis variegata;non infested;Perna perna;1;20,1;1,78;4,1;DSC1223;
Kasouga;3;8;Perna perna;38;513,1;N;L;A;0;no epibiont;no epibiont;no epibiont;no epibiont;no epibiont;0;0;0;0;DSC1226;
Kasouga;3;8;Perna perna;38;517,1;N;R;A;0;sessile;Cirripedia;Juvenile barnacle;non infested;Perna perna;8;1,7;0,33;0;DSC1225;
Kasouga;3;9;Perna perna;54;1006,8;F;L;C;25-50;no epibiont;no epibiont;no epibiont;no epibiont;no epibiont;0;0;0;0;DSC1228;
Kasouga;3;9;Perna perna;54;974,9;F;R;B;25-50;sessile;Ochrophyta;Ralfsia verrucosa;non infested;Perna perna;1;15,1;1,55;1,7;DSC1227;
Kasouga;3;10;Perna perna;88;1974,5;M;L;D;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;2;20,9;1,06;33,4;DSC1230;
Kasouga;3;10;Perna perna;88;1974,5;M;L;D;75-100;sessile;Sedentaria;Spirorbis spp.;non infested;Perna perna;2;2;0,1;0;DSC1230;
Kasouga;3;10;Perna perna;88;1914,7;M;R;D;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;2;11,9;0,62;6,863;DSC1229;
Kasouga;3;10;Perna perna;88;1914,7;M;R;D;75-100;sessile;Bryozoa;Electra verticillata;non infested;Perna perna;1;1,1;0,06;0,638;DSC1229;
Kasouga;3;10;Perna perna;88;1914,7;M;R;D;75-100;mobile;Copepoda;Copepoda;non infested;Perna perna;1;0;0;;DSC1229;
Kasouga;3;11;Perna perna;81;1771,6;F;L;D;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;1;19,9;1,12;11,7;DSC1232;
Kasouga;3;11;Perna perna;81;1771,6;F;L;D;75-100;sessile;Cirripedia;Juvenile barnacle;II epibiosis;Tetraclita serrata;17;2,5;0,14;0;DSC1232;
Kasouga;3;11;Perna perna;81;1771,6;F;L;D;75-100;sessile;Cirripedia;Tetraclita serrata;II epibiosis;Tetraclita serrata;3;183,1;10,34;37,337;DSC1232;
Kasouga;3;11;Perna perna;81;1771,6;F;L;D;75-100;sessile;Cirripedia;Tetraclita serrata;non infested;Perna perna;4;486,6;27,47;61,963;DSC1232;
Kasouga;3;11;Perna perna;81;1771,6;F;L;D;75-100;sessile;Sedentaria;Spirorbis spp.;infested;Perna perna;1;0,4;0,02;0;DSC1232;
Kasouga;3;11;Perna perna;81;1777,4;F;R;D;75-100;sessile;Bivalvia;Perna perna;infested;Perna perna;1;1,8;0,1;0,5;DSC1231;
Kasouga;3;11;Perna perna;81;1777,4;F;R;D;75-100;sessile;Bryozoa;Electra verticillata;II epibiosis;Spirobranchus kraussii;1;7,1;0,4;4,1;DSC1231;
Kasouga;3;11;Perna perna;81;1777,4;F;R;D;75-100;sessile;Bryozoa;Electra verticillata;non infested;Perna perna;1;4,2;0,24;9,1;DSC1231;
Kasouga;3;11;Perna perna;81;1777,4;F;R;D;75-100;sessile;Sedentaria;Spirobranchus kraussii;infested;Perna perna;1;48;2,7;2,5;DSC1231;
Kasouga;3;11;Perna perna;81;1777,4;F;R;D;75-100;sessile;Sedentaria;Spirorbis spp.;II epibiosis;Spirobranchus kraussii;7;2,2;0,12;0;DSC1231;
Kasouga;3;12;Perna perna;87;1937,3;M;L;D;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;1;27,294;1,41;1,2;DSC1234;
Kasouga;3;12;Perna perna;87;1937,3;M;L;D;75-100;sessile;Cirripedia;Chthamalus dentatus;non infested;Perna perna;2;3,5;0,18;;DSC1234;
Kasouga;3;12;Perna perna;87;1920;M;R;C;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;1;0,7;0,04;0;DSC1233;
Kasouga;3;13;Perna perna;83;1962,1;M;L;D;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;1;1,2;0,06;0;DSC1236;
Kasouga;3;13;Perna perna;83;1962,1;M;L;D;75-100;sessile;Sedentaria;Spirorbis spp.;infested;Perna perna;2;0,9;0,05;0;DSC1236;
Kasouga;3;13;Perna perna;83;1962,1;M;L;D;75-100;sessile;Sedentaria;Spirorbis spp.;non infested;Perna perna;7;7;0,36;0;DSC1236;
Kasouga;3;13;Perna perna;83;1969,4;M;R;C;75-100;no epibiont;no epibiont;no epibiont;no epibiont;no epibiont;0;0;0;0;DSC1235;
Kasouga;3;14;Perna perna;63;1196,4;M;L;D;75-100;sessile;Cirripedia;Chthamalus dentatus;non infested;Perna perna;2;8,9;0,74;0;DSC1238;
Kasouga;3;14;Perna perna;63;1196,4;M;L;D;75-100;sessile;Sedentaria;Spirorbis spp.;infested;Perna perna;1;0,9;0,08;0;DSC1238;
Kasouga;3;14;Perna perna;63;1196,5;M;R;D;100;mobile;Errantia;Scoletoma tetraura;non infested;Perna perna;1;0;0;0;DSC1237;w/in byssal threads
Kasouga;3;14;Perna perna;63;1196,5;M;R;D;100;semi-sessile;Platyhelminthes;Notocomplana erythrotaenia;infested;Perna perna;1;3,075;0,26;0,3;DSC1237;
Kasouga;3;15;Perna perna;77;1724,8;N;L;D;75-100;sessile;Cirripedia;Chthamalus dentatus;infested;Perna perna;1;5,7;0,33;0;DSC1240;
Kasouga;3;15;Perna perna;77;1724,8;N;L;D;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;3;3,6;0,21;0;DSC1240;
Kasouga;3;15;Perna perna;77;1724,8;N;L;D;75-100;sessile;Cirripedia;Juvenile barnacle;non infested;Perna perna;2;1;0,06;0;DSC1240;
Kasouga;3;15;Perna perna;77;1724,8;N;L;D;75-100;mobile;Errantia;Scoletoma tetraura;non infested;Perna perna;2;0;0;0;DSC1240;
Kasouga;3;15;Perna perna;77;1694,3;N;R;D;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;4;4,1;0,24;0;DSC1239;
Kasouga;3;15;Perna perna;77;1694,3;N;R;D;75-100;semi-sessile;Platyhelminthes;Notocomplana erythrotaenia;infested;Perna perna;1;3,075;0,18;0,1;DSC1239;
Kasouga;3;16;Perna perna;78;1688,9;M;L;D;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;2;26,3;1,56;0,9;DSC1242;
Kasouga;3;16;Perna perna;78;1688,9;M;L;D;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;3;3,6;0,21;0;DSC1242;
Kasouga;3;16;Perna perna;78;1672,9;M;R;D;75-100;sessile;Cirripedia;Juvenile barnacle;II epibiosis;Tetraclita serrata;2;2,4;0,14;0;DSC1241;
Kasouga;3;16;Perna perna;78;1672,9;M;R;D;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;8;9,6;0,57;0;DSC1241;
Kasouga;3;16;Perna perna;78;1672,9;M;R;D;75-100;sessile;Cirripedia;Tetraclita serrata;infested;Perna perna;1;31,7;1,89;2,8;DSC1241;
Kasouga;3;16;Perna perna;78;1672,9;M;R;D;75-100;semi-sessile;Platyhelminthes;Notocomplana erythrotaenia;infested;Perna perna;1;3,075;0,18;0,7;DSC1241;
Kasouga;3;17;Perna perna;57;971;F;L;B;25-50;mobile;Errantia;Scoletoma tetraura;infested;Perna perna;2;1,5;0,15;0,1;DSC1244;
Kasouga;3;17;Perna perna;57;967,9;F;R;B;50-75;sessile;Cirripedia;Juvenile barnacle;non infested;Perna perna;5;0,8;0,08;0;DSC1243;
Kasouga;3;18;Perna perna;88;2123,8;F;L;D;50-75;sessile;Bryozoa;Electra verticillata;infested;Perna perna;1;58,3;2,75;4,2;DSC1246;
Kasouga;3;18;Perna perna;88;2123,8;F;L;D;50-75;sessile;Cirripedia;Juvenile barnacle;II epibiosis;Tetraclita serrata;5;6;0,28;0;DSC1246;
Kasouga;3;18;Perna perna;88;2123,8;F;L;D;50-75;sessile;Cirripedia;Tetraclita serrata;infested;Perna perna;2;100,4;4,73;13,1;DSC1246;
Kasouga;3;18;Perna perna;88;2123,8;F;L;D;50-75;sessile;Cirripedia;Tetraclita serrata;non infested;Perna perna;11;376,2;17,71;84,8;DSC1246;
Kasouga;3;18;Perna perna;88;2123,8;F;L;D;50-75;sessile;Ochrophyta;Ralfsia verrucosa;non infested;Perna perna;1;79,8;3,76;48,7;DSC1246;
Kasouga;3;18;Perna perna;88;2123,8;F;L;D;50-75;sessile;Sedentaria;Spirobranchus kraussii;infested;Perna perna;1;6;0,28;0;DSC1246;
Kasouga;3;18;Perna perna;88;2078,7;F;R;C;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;1;3,3;0,16;10,614;DSC1245;
Kasouga;3;18;Perna perna;88;2078,7;F;R;C;75-100;sessile;Rhodophyta;Hildenbrandia lecannellieri;non infested;Perna perna;1;24,7;1,19;4,5;DSC1245;
Kasouga;3;19;Perna perna;85;1908,1;F;L;D;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;1;38,1;2;2,4;DSC1248;
Kasouga;3;19;Perna perna;85;1908,1;F;L;D;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;7;1,8;0,09;0;DSC1248;
Kasouga;3;19;Perna perna;85;1948,6;F;R;D;75-100;sessile;Sedentaria;Spirorbis spp.;infested;Perna perna;1;0,9;0,05;0;DSC1247;
Kasouga;3;20;Perna perna;83;1617,4;M;L;D;75-100;no epibiont;no epibiont;no epibiont;no epibiont;no epibiont;0;0;0;0;DSC1250;
Kasouga;3;20;Perna perna;83;1617,6;M;R;D;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;1;4,8;0,3;6,3;DSC1249;
Kasouga;3;20;Perna perna;83;1617,6;M;R;D;75-100;sessile;Cirripedia;Chthamalus dentatus;infested;Perna perna;1;5,3;0,33;;DSC1249;
Kasouga;3;20;Perna perna;83;1617,6;M;R;D;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;2;0,2;0,01;0;DSC1249;
Kasouga;3;21;Perna perna;71;1374,3;F;L;D;100;sessile;Cirripedia;Chthamalus dentatus;infested;Perna perna;1;1,4;0,1;;DSC1252;
Kasouga;3;21;Perna perna;71;1374,3;F;L;D;100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;1;0,5;0,04;0;DSC1252;
Kasouga;3;21;Perna perna;71;1344,3;F;R;D;100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;2;2,4;0,18;0;DSC1251;
Kasouga;3;22;Perna perna;52;873,5;F;L;B;50-75;no epibiont;no epibiont;no epibiont;no epibiont;no epibiont;0;0;0;0;DSC1254;
Kasouga;3;22;Perna perna;52;853,6;F;R;A;25-50;sessile;Cirripedia;Juvenile barnacle;non infested;Perna perna;8;2,1;0,25;0;DSC1253;
Kasouga;3;23;Perna perna;76;1783,6;M;L;D;75-100;sessile;Cirripedia;Tetraclita serrata;non infested;Perna perna;1;74,1;4,15;2,4;DSC1257;
Kasouga;3;23;Perna perna;76;1783,6;M;L;D;75-100;sessile;Ochrophyta;Ralfsia verrucosa;non infested;Perna perna;1;313,8;17,59;37,8;DSC1257;
Kasouga;3;23;Perna perna;76;1727,5;M;R;C;50-75;sessile;Bivalvia;Perna perna;II epibiosis;Gelidium pristoides;2;60;3,47;74,889;DSC1256;
Kasouga;3;23;Perna perna;76;1727,5;M;R;C;50-75;sessile;Cirripedia;Chthamalus dentatus;non infested;Perna perna;11;28,9;1,67;;DSC1256;
Kasouga;3;23;Perna perna;76;1727,5;M;R;C;50-75;sessile;Cirripedia;Juvenile barnacle;non infested;Perna perna;4;4;0,23;0;DSC1256;
Kasouga;3;23;Perna perna;76;1727,5;M;R;C;50-75;sessile;Cirripedia;Tetraclita serrata;infested;Perna perna;1;24,3;1,41;1,881;DSC1255;
Kasouga;3;23;Perna perna;76;1727,5;M;R;C;50-75;sessile;Cirripedia;Tetraclita serrata;non infested;Perna perna;4;189,9;10,99;14,619;DSC1255;
Kasouga;3;23;Perna perna;76;1727,5;M;R;C;50-75;sessile;Ochrophyta;Ralfsia verrucosa;non infested;Perna perna;2;48,8;2,82;10,7;DSC1256;
Kasouga;3;23;Perna perna;76;1727,5;M;R;C;50-75;sessile;Rhodophyta;Gelidium pristoides;non infested;Perna perna;1;251,2;14,54;1399,7;DSC1256;
Kasouga;3;23;Perna perna;76;1727,5;M;R;C;50-75;sessile;Sedentaria;Gunnarea gaimardi;non infested;Perna perna;1;111,8;6,47;6,453;DSC1256;
Kasouga;3;24;Perna perna;81;1911,3;M;L;C;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;1;25,289;1,32;0,8;DSC1259;
Kasouga;3;24;Perna perna;81;1911,3;M;L;C;75-100;sessile;Sedentaria;Spirorbis spp.;infested;Perna perna;1;2,2;0,12;0;DSC1259;
Kasouga;3;24;Perna perna;81;1911,3;M;L;C;75-100;sessile;Sedentaria;Spirorbis spp.;non infested;Perna perna;1;0,9;0,05;0;DSC1259;
Kasouga;3;24;Perna perna;81;1889,5;M;R;D;75-100;sessile;Cirripedia;Chthamalus dentatus;infested;Perna perna;1;3,5;0,19;;DSC1258;
Kasouga;3;25;Perna perna;82;1727,9;F;L;D;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;1;0,6;0,03;7,804;DSC1261;
Kasouga;3;25;Perna perna;82;1727,9;F;L;D;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;1;0,7;0,04;0;DSC1261;
Kasouga;3;25;Perna perna;82;1727,9;F;L;D;75-100;sessile;Cirripedia;Tetraclita serrata;infested;Perna perna;1;108,7;6,29;3,1;DSC1261;
Kasouga;3;25;Perna perna;82;1749,4;F;R;D;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;3;3,6;0,21;0;DSC1260;
Kasouga;3;26;Perna perna;79;1728;M;L;C;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;1;3,1;0,18;6,8;DSC1263;
Kasouga;3;26;Perna perna;79;1728;M;L;C;75-100;sessile;Cirripedia;Chthamalus dentatus;infested;Perna perna;3;2,9;0,17;;DSC1263;
Kasouga;3;26;Perna perna;79;1728;M;L;C;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;6;6;0,35;0;DSC1263;
Kasouga;3;26;Perna perna;79;1728;M;L;C;75-100;sessile;Ochrophyta;Ralfsia verrucosa;non infested;Perna perna;1;297,6;17,22;37,3;DSC1263;
Kasouga;3;26;Perna perna;79;1717,6;M;R;C;75-100;sessile;Cirripedia;Barnacle traces;non infested;Perna perna;1;59,875;3,49;;DSC1262;
Kasouga;3;26;Perna perna;79;1717,6;M;R;C;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;4;4;0,23;0;DSC1262;
Kasouga;3;26;Perna perna;79;1717,6;M;R;C;75-100;sessile;Cirripedia;Tetraclita serrata;non infested;Perna perna;1;40,2;2,34;7,9;DSC1262;
Kasouga;3;26;Perna perna;79;1717,6;M;R;C;75-100;sessile;Ochrophyta;Ralfsia verrucosa;non infested;Perna perna;1;780,9;45,46;140,8;DSC1262;
Kasouga;3;27;Perna perna;90;2271,6;F;L;D;75-100;sessile;Cirripedia;Chthamalus dentatus;infested;Perna perna;2;10,2;0,45;;DSC1265;
Kasouga;3;27;Perna perna;90;2271,6;F;L;D;75-100;sessile;Cirripedia;Chthamalus dentatus;non infested;Perna perna;1;2,2;0,1;;DSC1265;
Kasouga;3;27;Perna perna;90;2271,6;F;L;D;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;1;0,8;0,04;0;DSC1265;
Kasouga;3;27;Perna perna;90;2273;F;R;D;75-100;sessile;Cirripedia;Chthamalus dentatus;non infested;Perna perna;2;3,4;0,15;;DSC1264;
Kasouga;3;27;Perna perna;90;2273;F;R;D;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;3;3,6;0,16;0;DSC1264;
Kasouga;3;27;Perna perna;90;2273;F;R;D;75-100;sessile;Cirripedia;Juvenile barnacle;non infested;Perna perna;3;3,6;0,16;0;DSC1264;
Kasouga;3;27;Perna perna;90;2273;F;R;D;75-100;sessile;Ochrophyta;Ralfsia verrucosa;infested;Perna perna;1;70;3,08;48,7;DSC1264;
Kasouga;3;28;Perna perna;81;1722,4;M;L;C;75-100;sessile;Ochrophyta;Ralfsia verrucosa;non infested;Perna perna;1;11;0,64;3,05;DSC1267;
Kasouga;3;28;Perna perna;81;1712,4;M;R;C;75-100;sessile;Bryozoa;Electra verticillata;infested;Perna perna;1;4,4;0,26;6,9;DSC1266;
Kasouga;3;28;Perna perna;81;1712,4;M;R;C;75-100;sessile;Cirripedia;Juvenile barnacle;infested;Perna perna;3;3;0,18;0;DSC1266;
Kasouga;3;28;Perna perna;81;1712,4;M;R;C;75-100;sessile;Cirripedia;Juvenile barnacle;non infested;Perna perna;3;3;0,18;0;DSC1266;
Kasouga;3;28;Perna perna;81;1712,4;M;R;C;75-100;sessile;Ochrophyta;Splachnidium rugosum;infested;Perna perna;1;0,9;0,05;0;DSC1266;
Kasouga;3;29;Perna perna;82;2003,5;F;L;D;75-100;sessile;Cirripedia;Juvenile barnacle;II epibiosis;Tetraclita serrata;8;14,8;0,74;0;DSC1269;
Kasouga;3;29;Perna perna;82;2003,5;F;L;D;75-100;sessile;Cirripedia;Tetraclita serrata;infested;Perna perna;2;321,9;16,07;34,6;DSC1269;
